antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
"frozenset({'Exploration', 'review_bin_60-65', 'Retro'})",frozenset({'Atmospheric'}),0.0014487276392038298,0.20011337868480725,0.0008818342151675485,0.608695652173913,3.0417539105801206,1.0,0.0005919244324924057,2.044154698916603,0.6722161645835398,0.004394224733207784,0.510800234184821,0.30655116256791337,"Exploration, Retro, review_bin_60-65",Atmospheric
"frozenset({'review_bin_70-75', 'Retro', 'Horror'})",frozenset({'Atmospheric'}),0.0016061980347694634,0.20011337868480725,0.0008818342151675485,0.5490196078431372,2.743542742876187,1.0,0.0005604124995929336,1.7736616385684705,0.6365301680433695,0.0043907793633369925,0.43619460541126437,0.2767131404025255,"Horror, Retro, review_bin_70-75",Atmospheric
"frozenset({'Exploration', 'review_bin_65-70', 'Retro'})",frozenset({'Atmospheric'}),0.0021730914588057445,0.20011337868480725,0.0011022927689594356,0.5072463768115941,2.5347949254834337,1.0,0.0006674280949467214,1.6232993197278909,0.6068094201036157,0.005479023168440827,0.38397066526977464,0.25637735900699316,"Exploration, Retro, review_bin_65-70",Atmospheric
"frozenset({'Exploration', 'review_bin_65-70'})",frozenset({'Atmospheric'}),0.019085411942554798,0.20011337868480725,0.009794658604182414,0.5132013201320133,2.5645527725577093,1.0,0.005975412336766402,1.6431569237864638,0.6219384155485533,0.046773950970070685,0.39141539951302007,0.2810734331223491,"Exploration, review_bin_65-70",Atmospheric
"frozenset({'review_bin_50-55', 'Open World', 'Atmospheric'})",frozenset({'Exploration'}),0.002236079617031998,0.12685815066767447,0.001165280927185689,0.5211267605633801,4.107948585255325,1.0,0.0008816160022233279,1.8233256265469144,0.7582650356552694,0.009108813392417526,0.45155161237225677,0.2651562303313425,"Atmospheric, Open World, review_bin_50-55",Exploration
"frozenset({'Exploration', 'Horror', 'review_bin_50-55'})",frozenset({'Atmospheric'}),0.002110103300579491,0.20011337868480725,0.0013227513227513227,0.6268656716417911,3.1325525347765426,1.0,0.0009004914218983973,2.1436961451247165,0.6822110507450573,0.0065841040915503996,0.5335159778710982,0.31673784054233084,"Exploration, Horror, review_bin_50-55",Atmospheric
"frozenset({'Survival', 'Horror', 'review_bin_50-55'})",frozenset({'Atmospheric'}),0.002141597379692618,0.20011337868480725,0.001165280927185689,0.5441176470588235,2.7190468255290785,1.0,0.0007367186397528692,1.754590008046229,0.6335809360679958,0.005794831636648395,0.43006628590486506,0.27497037530781904,"Horror, Survival, review_bin_50-55",Atmospheric
"frozenset({'review_bin_50-55', 'Survival', 'Atmospheric'})",frozenset({'Horror'}),0.002236079617031998,0.11564625850340136,0.001165280927185689,0.5211267605633801,4.506213753106875,1.0,0.0009066866857602197,1.8467386954781908,0.7798279640708855,0.009983810037776578,0.4585048754062837,0.26560150664334586,"Atmospheric, Survival, review_bin_50-55",Horror
"frozenset({'review_bin_70-75', 'Fantasy', 'Tactical'})",frozenset({'Turn-Based Strategy'}),0.0017006802721088435,0.045005039052658104,0.000944822373393802,0.5555555555555556,12.344296710986704,1.0,0.0008682831913314582,2.1487386621315196,0.920556501987507,0.020646937370956638,0.5346106915542658,0.2882746287224944,"Fantasy, Tactical, review_bin_70-75",Turn-Based Strategy
"frozenset({'review_bin_65-70', 'Fantasy', 'Tactical'})",frozenset({'Turn-Based Strategy'}),0.001889644746787604,0.045005039052658104,0.0010393046107331821,0.5499999999999999,12.220853743876834,1.0,0.0009542610751083558,2.1222110243274264,0.9199109611832066,0.02266483516483516,0.528793325198694,0.2865465360391882,"Fantasy, Tactical, review_bin_65-70",Turn-Based Strategy
"frozenset({'review_bin_65-70', 'Magic', 'Turn-Based Strategy'})",frozenset({'Fantasy'}),0.0010078105316200555,0.11759889140841522,0.0008503401360544217,0.8437499999999999,7.174812533476164,1.0,0.0007318227347861777,5.647367094986139,0.8614917565737239,0.007221182134260497,0.8229263330715967,0.4254904258168184,"Magic, Turn-Based Strategy, review_bin_65-70",Fantasy
